name,pet_type,food_type,amount,brand
Simba,Lizard,Insects,212g,
Winston,Ferret,Dry Food,,Pawsome
Bella,Parrot,Seeds,,
Shadow,Hamster,Pellets,58g,
Milo,Rabbit,Vegetables,124g,
Zoe,Ferret,Dry Food,114g,
Casper,Rabbit,Vegetables,62g,
Gizmo,Lizard,Insects,179g,
Lily,Hamster,Seeds,149g,
Tiger,Fish,Pellets,173g,ChowTime
Lily,Cat,Dry Kibble,160g,
Mittens,Dog,Dry Kibble,87g,
Zeus,Dog,Wet Food,,
Leo,Fish,,115g,
Lucy,Dog,Wet Food,142g,
Leo,Lizard,Pellets,88g,
Rosie,Cat,Wet Food,67g,
Leo,Rabbit,Hay,,
Charlie,Dog,Dry Kibble,84g,GreenHarvest
Harley,Cat,Wet Food,90g,Pawsome
Jasper,Hamster,Pellets,167g,
Jasper,Rabbit,Hay,37g,SnackLand
Sophie,Snake,Eggs,44g,
Mittens,Dog,Wet Food,91g,TropicalFeast
Max,Hamster,Seeds,,
Duke,Rabbit,Vegetables,39g,
Lily,Cat,Wet Food,,
Cooper,Parrot,Seeds,,SnackLand
Cooper,Guinea Pig,Pellets,,
Tucker,Parrot,Pellets,87g,
Duke,Snake,Eggs,214g,
Winston,Fish,Pellets,37g,GrainyGraze
Lulu,Lizard,Pellets,,
Coco,Rabbit,Vegetables,,
Rocky,Turtle,,228g,
Zoe,Turtle,Vegetables,187g,
Cooper,Fish,Pellets,236g,
Duke,Snake,,53g,
Penny,Guinea Pig,Pellets,119g,TropicalFeast
Simba,Fish,Flakes,208g,
Chloe,Dog,Wet Food,177g,
Gizmo,Rabbit,Vegetables,176g,
,,,,
Chloe,Snake,Rodents,101g,
Zoe,Snake,,,YummyDelight
Buddy,Snake,Rodents,129g,
Nala,Parrot,Pellets,31g,GrainyGraze
Penny,Dog,Wet Food,250g,
Kitty,Lizard,Insects,136g,
Leo,Cat,Dry Kibble,86g,
Harley,Fish,Flakes,230g,
Ruby,Lizard,Pellets,97g,
Lucy,Guinea Pig,Pellets,238g,
Stella,Snake,,231g,
Lily,Fish,,55g,
Rocky,Ferret,,86g,
Sadie,Ferret,Wet Food,128g,
Loki,Dog,Wet Food,173g,Pawsome
Charlie,Cat,Wet Food,172g,
Lily,Guinea Pig,Pellets,94g,
Luna,Parrot,,,
Leo,Ferret,Dry Food,194g,
Tucker,Parrot,Seeds,209g,
Chloe,Lizard,Pellets,118g,
Winston,Snake,Rodents,,ChowTime
Sophie,Bird,Fruits,218g,
Molly,Lizard,Insects,225g,
Lola,Rabbit,Vegetables,99g,
Buddy,Rabbit,Hay,87g,
Finn,Snake,Eggs,,
Oliver,Fish,Flakes,106g,
Cooper,Bird,Seeds,,
Sadie,Snake,Eggs,176g,
Chloe,Cat,Dry Kibble,65g,
Zoe,Hamster,Seeds,49g,YummyDelight
Finn,Lizard,Pellets,94g,GrainyGraze
Stella,Hamster,Pellets,161g,
Chloe,Snake,Rodents,234g,
Oscar,Hamster,Pellets,,
Lola,Turtle,Pellets,161g,
Winston,Rabbit,Hay,248g,
Duke,Lizard,Pellets,,Pawsome
Charlie,Turtle,Pellets,202g,
Kitty,Snake,Rodents,212g,
,,Eggs,205g,
Kitty,Hamster,Pellets,247g,
Lucy,Parrot,Pellets,,
Bailey,Guinea Pig,,244g,
Sophie,Bird,Fruits,,
Riley,Ferret,Wet Food,,Pawsome
Penny,Dog,,108g,
Harley,Ferret,Wet Food,239g,
Cooper,Fish,Pellets,,
Mocha,Fish,,52g,
Chloe,Cat,Wet Food,,
Luna,Cat,,,
Mittens,Lizard,Insects,214g,
Casper,Turtle,Pellets,118g,
Milo,Parrot,Pellets,152g,
,,Dry Kibble,198g,
Milo,Lizard,Pellets,199g,
Coco,Cat,Wet Food,87g,
Milo,Hamster,Pellets,240g,
Oliver,Cat,,247g,
Mocha,Fish,Pellets,,
Rosie,Cat,,159g,
Lucy,Rabbit,,50g,
Penny,Ferret,Wet Food,241g,
Daisy,Dog,Wet Food,123g,
Oscar,Dog,Wet Food,69g,
Tiger,Fish,Pellets,,SnackLand
Buddy,Cat,Wet Food,168g,
Ruby,Ferret,Wet Food,182g,Pawsome
Oliver,Parrot,Pellets,149g,
Shadow,Cat,Dry Kibble,50g,
Lily,Lizard,Pellets,101g,
Zoe,Fish,Flakes,160g,
Shadow,Turtle,Vegetables,108g,
Oliver,Guinea Pig,Vegetables,239g,
Cooper,Rabbit,Vegetables,247g,
Lucy,Snake,Eggs,222g,
Lily,Rabbit,Vegetables,183g,
Simba,Snake,Rodents,25g,SnackLand
Mocha,Hamster,Pellets,191g,
Molly,Turtle,,,
Kitty,Fish,Pellets,,
Stella,Rabbit,Hay,,ChowTime
Oliver,Guinea Pig,Pellets,177g,
Luna,Turtle,Vegetables,,
Leo,Cat,Dry Kibble,114g,GrainyGraze
Loki,Fish,Pellets,47g,
Lily,Guinea Pig,Pellets,172g,
Finn,Rabbit,Vegetables,,
Duke,Bird,Fruits,,
Lola,Parrot,Seeds,68g,YummyDelight
Oscar,Ferret,Dry Food,242g,
Nala,Turtle,Pellets,,
Chloe,Hamster,Pellets,52g,
Charlie,Lizard,Pellets,137g,GrainyGraze
Jasper,Rabbit,Hay,144g,
Gizmo,Lizard,Insects,234g,
Kitty,Hamster,Pellets,,
Sophie,Cat,Dry Kibble,143g,Pawsome
Oscar,Hamster,Pellets,,Pawsome
Rocky,Fish,Pellets,,
Kitty,Parrot,Seeds,171g,ChowTime
Luna,Snake,Eggs,,
,,,85g,SnackLand
Zeus,Bird,Fruits,119g,
Oliver,Snake,Rodents,136g,
Winston,Bird,Seeds,222g,
Jasper,Guinea Pig,Pellets,128g,
Stella,Snake,,,
Stella,Snake,Eggs,138g,GreenHarvest
Riley,Lizard,Pellets,34g,
Charlie,Guinea Pig,Vegetables,194g,
Harley,Lizard,Insects,211g,
Buddy,Parrot,,227g,
Stella,Lizard,Pellets,45g,
Zeus,Rabbit,Hay,33g,GreenHarvest
Ruby,Lizard,Insects,68g,
Finn,Ferret,Dry Food,115g,
Harley,Snake,Eggs,247g,
Jasper,Ferret,Dry Food,132g,
Lulu,Hamster,Seeds,,
Luna,Fish,Pellets,195g,
Molly,Ferret,Dry Food,219g,
,,,,
Lulu,Turtle,Pellets,102g,
Lucy,Ferret,Wet Food,,
Buddy,Guinea Pig,Vegetables,28g,
Cooper,Parrot,Pellets,,
Tucker,Rabbit,,129g,SnackLand
Penny,Lizard,Insects,29g,
Cleo,Lizard,Insects,80g,
Stella,Bird,Fruits,95g,
Cleo,Hamster,Seeds,,
Molly,Bird,Fruits,170g,
Lola,Bird,Seeds,28g,SnackLand
Luna,Dog,,234g,
Winston,Cat,,106g,
Oscar,Lizard,Pellets,,Pawsome
Max,Cat,Dry Kibble,,
Lily,Fish,Pellets,40g,
Lucy,Ferret,Dry Food,,
Simba,Rabbit,Hay,155g,GrainyGraze
Penny,Rabbit,Vegetables,218g,
Shadow,Turtle,Pellets,228g,
Lola,Fish,Pellets,124g,
Max,Hamster,Seeds,116g,
Leo,Rabbit,,43g,
Zeus,Hamster,Seeds,243g,Pawsome
Winston,Cat,Dry Kibble,103g,TropicalFeast
Penny,Fish,Pellets,173g,
Winston,Guinea Pig,Pellets,,
Lola,Bird,Fruits,183g,
Mittens,Ferret,Wet Food,,
Lucy,Fish,Flakes,129g,
Oliver,Turtle,,33g,
Luna,Lizard,,,TropicalFeast
Loki,Guinea Pig,Vegetables,139g,
Kitty,Guinea Pig,,,ChowTime
Bailey,Bird,,70g,
Loki,Lizard,Insects,68g,
Harley,Ferret,Dry Food,188g,
Max,Turtle,Vegetables,30g,
Daisy,Turtle,Vegetables,48g,
Buddy,Cat,Wet Food,164g,
Gizmo,Guinea Pig,,67g,
Charlie,Guinea Pig,Vegetables,,
Shadow,Guinea Pig,Pellets,,
Zeus,Fish,Pellets,63g,ChowTime
Lulu,Parrot,Pellets,28g,
Chloe,Parrot,Seeds,248g,
Lola,Hamster,Seeds,165g,
Oscar,Dog,Wet Food,146g,
Charlie,Ferret,Wet Food,231g,
Sophie,Ferret,Wet Food,,
Charlie,Turtle,Vegetables,168g,
Riley,Cat,Dry Kibble,123g,SnackLand
Simba,Guinea Pig,,25g,
Tucker,Rabbit,Hay,197g,
Loki,Bird,,115g,
Luna,Turtle,Pellets,116g,
Lily,Rabbit,Vegetables,,
Tiger,Bird,Fruits,245g,
Max,Ferret,,221g,Pawsome
Coco,Turtle,Vegetables,73g,GreenHarvest
Sophie,Bird,Seeds,129g,
Cleo,Lizard,Pellets,,
Winston,Dog,Dry Kibble,188g,
Oliver,Rabbit,Vegetables,,YummyDelight
Sadie,Fish,Pellets,61g,GreenHarvest
Buddy,Cat,Dry Kibble,,
Milo,Guinea Pig,Vegetables,60g,
Oscar,Cat,Dry Kibble,112g,YummyDelight
Lucy,Ferret,Dry Food,37g,
Ruby,Lizard,Insects,25g,
Stella,Parrot,Seeds,,
Riley,Cat,Wet Food,,
Shadow,Bird,Seeds,,
Simba,Snake,,98g,
Cooper,Guinea Pig,Pellets,,
Lucy,Cat,Dry Kibble,83g,
Rosie,Parrot,,,ChowTime
Coco,Snake,Eggs,77g,
Sadie,Hamster,Pellets,248g,
Simba,Turtle,,117g,
Lola,Ferret,,48g,
Rosie,Dog,Wet Food,245g,
Riley,Hamster,Seeds,233g,
Luna,Snake,Eggs,201g,
Coco,Snake,,64g,
Loki,Lizard,Pellets,115g,YummyDelight
Winston,Turtle,Vegetables,53g,Pawsome
Shadow,Rabbit,Vegetables,32g,
Harley,Turtle,Vegetables,84g,
Ruby,Snake,Rodents,99g,GreenHarvest
Zeus,Turtle,Pellets,97g,
Winston,Rabbit,Hay,88g,
Max,Bird,Seeds,60g,
,,,,
,,,,
Jasper,Snake,Eggs,57g,
Charlie,Parrot,Seeds,232g,PetPerfection
Finn,Hamster,Seeds,146g,
Daisy,Fish,Pellets,37g,
Oscar,Hamster,Seeds,144g,TropicalFeast
Zoe,Cat,,,
Harley,Ferret,Dry Food,101g,
Coco,Cat,Wet Food,156g,
Oliver,Snake,Rodents,,
Jasper,Fish,Flakes,,
Lola,Dog,Wet Food,127g,
Cleo,Parrot,Seeds,215g,TropicalFeast
Rocky,Fish,Pellets,,
Zoe,Snake,Rodents,,PetPerfection
Tiger,Guinea Pig,Vegetables,,
Cooper,Dog,,,
Cooper,Dog,,64g,
Casper,Guinea Pig,Pellets,230g,
Tucker,Turtle,Pellets,90g,
Nala,Ferret,Wet Food,144g,
Luna,Rabbit,Vegetables,43g,
Riley,Rabbit,Hay,137g,
Chloe,Guinea Pig,Vegetables,,PetPerfection
Charlie,Cat,Wet Food,54g,
Milo,Hamster,Pellets,132g,
Cleo,Turtle,Vegetables,,
Finn,Lizard,Pellets,118g,
Daisy,Turtle,,,
Sophie,Rabbit,Hay,,YummyDelight
Stella,Dog,Dry Kibble,107g,YummyDelight
Oliver,Dog,Wet Food,,
Mocha,Snake,Rodents,42g,
Sophie,Turtle,,139g,
Zeus,Turtle,Pellets,82g,
Mittens,Lizard,Pellets,99g,
Loki,Lizard,Pellets,108g,
Nala,Dog,Dry Kibble,203g,
Oliver,Dog,Wet Food,160g,
Oliver,Guinea Pig,Pellets,218g,
Riley,Ferret,Wet Food,134g,
Coco,Guinea Pig,Pellets,146g,PetPerfection
Kitty,Snake,Eggs,167g,
Zeus,Guinea Pig,Vegetables,90g,
Riley,Snake,Rodents,94g,TropicalFeast
Tucker,Lizard,Insects,138g,
Bailey,Rabbit,Vegetables,,
Kitty,Rabbit,Hay,173g,
Sophie,Fish,,206g,
Casper,Hamster,Pellets,56g,
Coco,Dog,Dry Kibble,,YummyDelight
Tucker,Cat,Dry Kibble,,
Bailey,Dog,Wet Food,207g,
Lulu,Parrot,Pellets,,
Milo,Parrot,Seeds,35g,
Finn,Fish,Pellets,44g,
Mocha,Dog,Dry Kibble,200g,
Sadie,Hamster,Seeds,,
Luna,Parrot,,138g,SnackLand
Duke,Snake,Eggs,31g,
Oliver,Cat,Dry Kibble,214g,YummyDelight
Stella,Snake,,,
Charlie,Hamster,Seeds,190g,
Chloe,Lizard,Pellets,54g,
Lulu,Turtle,Pellets,201g,ChowTime
Lulu,Turtle,Pellets,43g,
Tiger,Turtle,,34g,
Cooper,Parrot,Seeds,124g,
Milo,Snake,Rodents,101g,
Buddy,Rabbit,Hay,,
Lulu,Hamster,Pellets,228g,
Kitty,Hamster,Pellets,201g,
Mocha,Hamster,Seeds,55g,
Mittens,Turtle,Vegetables,134g,
Loki,Hamster,,234g,
Bella,Cat,Wet Food,219g,
Milo,Rabbit,,,
Duke,Rabbit,Vegetables,74g,
Shadow,Cat,Dry Kibble,188g,
Winston,Parrot,Pellets,,
Nala,Lizard,Insects,131g,
,,,189g,
Zeus,Dog,Wet Food,147g,
Rocky,Snake,Rodents,82g,
Lucy,Turtle,Vegetables,25g,
Casper,Hamster,,,GrainyGraze
Oscar,Lizard,,,YummyDelight
Lola,Dog,Wet Food,77g,
Rocky,Cat,Dry Kibble,243g,
Mittens,Parrot,Pellets,,
Tiger,Rabbit,Hay,,
Cooper,Turtle,Pellets,184g,
Leo,Fish,Flakes,53g,
Finn,Snake,Eggs,184g,ChowTime
Nala,Lizard,Pellets,137g,TropicalFeast
Riley,Parrot,Seeds,208g,GrainyGraze
Lily,Lizard,,119g,
Charlie,Fish,Pellets,105g,
Lulu,Turtle,Pellets,143g,
Gizmo,Ferret,Dry Food,215g,
Riley,Hamster,Pellets,146g,
Mittens,Rabbit,Hay,227g,
Mocha,Fish,Flakes,,
Bella,Ferret,Wet Food,171g,
Coco,Fish,Pellets,98g,
Stella,Cat,Wet Food,247g,
Lucy,Cat,Wet Food,46g,SnackLand
Chloe,Fish,Flakes,,GrainyGraze
Lily,Cat,,87g,PetPerfection
Bailey,Parrot,Pellets,59g,
Duke,Rabbit,Vegetables,87g,
Zoe,Ferret,Wet Food,185g,
Zoe,Hamster,Seeds,46g,
Charlie,Parrot,Seeds,27g,
Zoe,Fish,Flakes,79g,
Duke,Hamster,Pellets,32g,
Zoe,Hamster,Pellets,58g,
Molly,Parrot,Pellets,126g,
Harley,Ferret,Dry Food,39g,
Oliver,Bird,Seeds,97g,
Leo,Fish,Pellets,66g,
Lola,Cat,Dry Kibble,210g,
Simba,Turtle,Vegetables,,
Cooper,Ferret,Wet Food,45g,
Ruby,Cat,Wet Food,139g,
Jasper,Fish,Flakes,29g,
Tiger,Ferret,Dry Food,126g,
Tiger,Bird,Fruits,229g,
Sadie,Hamster,Pellets,189g,
Lily,Hamster,Seeds,226g,SnackLand
Mocha,Cat,Wet Food,,
Charlie,Lizard,Insects,155g,
Bailey,Bird,Fruits,,
Shadow,Rabbit,Vegetables,92g,
Lola,Turtle,,202g,
Riley,Rabbit,Hay,,
Stella,Lizard,Insects,75g,
Molly,Ferret,,216g,
Jasper,Lizard,Insects,213g,
Luna,Ferret,Dry Food,175g,
Kitty,Turtle,Pellets,176g,
Bella,Hamster,Seeds,41g,
Nala,Lizard,Insects,215g,SnackLand
Rosie,Guinea Pig,Vegetables,96g,
Mocha,Fish,Flakes,227g,
Penny,Lizard,Insects,102g,
Oscar,Fish,Pellets,,
Tiger,Rabbit,Hay,240g,
Shadow,Cat,Wet Food,67g,
Oscar,Parrot,Pellets,96g,
Luna,Parrot,Seeds,92g,
Chloe,Ferret,Wet Food,112g,
Nala,Rabbit,,135g,
Daisy,Fish,Flakes,,SnackLand
Lola,Snake,Eggs,,
Buddy,Turtle,Vegetables,232g,
Molly,Parrot,Seeds,243g,
Oscar,Guinea Pig,Vegetables,142g,
Lucy,Cat,Dry Kibble,164g,
Oscar,,Seeds,28g,
Duke,Parrot,,,
Sophie,Parrot,Pellets,94g,PetPerfection
Charlie,Parrot,Pellets,223g,
Nala,Rabbit,Hay,48g,
Finn,Lizard,Pellets,133g,PetPerfection
Finn,Turtle,Vegetables,,
Luna,Rabbit,Hay,,
Zoe,Hamster,Seeds,190g,
Nala,Fish,Pellets,73g,
Stella,Parrot,Pellets,189g,
Ruby,Rabbit,Vegetables,221g,
Sadie,Ferret,Wet Food,220g,
Mittens,Bird,Fruits,72g,
Ruby,Dog,Wet Food,223g,
Simba,Hamster,Seeds,182g,TropicalFeast
Penny,Cat,Wet Food,,
Winston,Hamster,Seeds,178g,
Buddy,Rabbit,,179g,
Nala,Snake,Rodents,160g,
Sadie,Lizard,Insects,224g,
Charlie,Bird,Fruits,246g,
Lucy,Turtle,,233g,
Max,Fish,Pellets,116g,
Harley,Cat,Wet Food,,
Lily,Guinea Pig,Vegetables,61g,
Charlie,Ferret,Wet Food,109g,PetPerfection
Riley,Bird,Fruits,47g,
Sophie,Snake,Eggs,226g,
Gizmo,Snake,Eggs,,
Cooper,Rabbit,Hay,56g,
Oliver,Turtle,Vegetables,134g,
Mocha,Lizard,Insects,144g,
Chloe,Snake,Eggs,241g,
Casper,Fish,Flakes,232g,
Coco,Turtle,Vegetables,87g,
Luna,Rabbit,Vegetables,132g,
Bailey,Lizard,Pellets,44g,
Lucy,Turtle,Vegetables,,GreenHarvest
Sadie,Bird,Fruits,,
Lucy,Snake,Eggs,74g,
Oscar,Turtle,Pellets,117g,
Shadow,Rabbit,Vegetables,138g,
Tiger,Parrot,Seeds,166g,GreenHarvest
Loki,Ferret,Dry Food,133g,
Mocha,Fish,Pellets,133g,GreenHarvest
Finn,,Flakes,56g,
Harley,Fish,Flakes,201g,
Sophie,Dog,Wet Food,,
Chloe,Cat,Wet Food,,YummyDelight
Lily,Rabbit,Hay,,
Ruby,Ferret,Dry Food,206g,
Rocky,Rabbit,,39g,
Sadie,Rabbit,Vegetables,125g,
Jasper,Parrot,Seeds,34g,
Mocha,Rabbit,Vegetables,75g,
Sophie,Parrot,Pellets,76g,
Bella,Parrot,Pellets,231g,
Loki,Parrot,Seeds,106g,
Coco,Turtle,Pellets,149g,
Casper,Bird,Seeds,52g,
Loki,Dog,Dry Kibble,194g,
Charlie,Parrot,Seeds,223g,PetPerfection
Jasper,Parrot,,107g,
Luna,Cat,,,
Luna,Hamster,Seeds,53g,
Kitty,Snake,Eggs,,
Lola,Fish,Pellets,167g,
Rocky,Lizard,Insects,135g,ChowTime
Loki,Guinea Pig,,207g,
Mocha,Turtle,Pellets,249g,
Luna,Lizard,Pellets,223g,PetPerfection
Shadow,Dog,Wet Food,176g,
,Turtle,Pellets,162g,
Shadow,Dog,Wet Food,229g,TropicalFeast
Nala,Snake,Eggs,114g,
Finn,Turtle,Pellets,,
Finn,Hamster,Seeds,55g,
Cleo,Parrot,Pellets,117g,